Date,total_cases,new
30-01-2020,1,0
02-02-2020,2,1
03-02-2020,3,1
02-03-2020,5,2
03-03-2020,6,1
04-03-2020,28,22
05-03-2020,30,2
06-03-2020,31,1
07-03-2020,34,3
08-03-2020,39,5
09-03-2020,44,5
10-03-2020,50,6
11-03-2020,60,10
12-03-2020,73,13
13-03-2020,81,8
14-03-2020,97,16
15-03-2020,107,10
16-03-2020,118,11
17-03-2020,137,19
18-03-2020,151,14
19-03-2020,173,22
20-03-2020,223,50
21-03-2020,283,60
22-03-2020,360,77
23-03-2020,434,74
24-03-2020,519,85
25-03-2020,606,87
26-03-2020,694,88
27-03-2020,834,140
28-03-2020,918,84
29-03-2020,1024,106
30-03-2020,1251,227
31-03-2020,1397,146